                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.55393,                  0.687,                0.37511,                0.88881,                0.92019,                0.91296,                0.93788,                0.78951,                0.92519,                0.90087,                0.93338,                 0.7073,                0.75885,                0.93448,                0.53102,                 1.0507,              0.0067825,              0.0067825,              0.0067825
                     67,                0.54692,                0.67982,                0.37237,                0.88695,                0.91709,                0.92121,                 0.9408,                0.79274,                0.90972,                  0.914,                 0.9347,                0.70841,                0.76217,                0.94834,                0.53899,                 1.0572,               0.006733,               0.006733,               0.006733
                     68,                 0.5429,                0.67803,                0.36905,                0.88621,                0.91678,                0.91586,                0.93995,                0.79281,                0.90603,                0.91543,                0.93592,                0.71008,                0.75934,                0.94637,                0.54296,                 1.0567,              0.0066835,              0.0066835,              0.0066835
                     69,                0.53934,                0.67124,                0.36406,                0.88321,                0.92323,                0.90852,                0.93953,                0.79336,                0.91607,                 0.9009,                0.93273,                0.70561,                0.75873,                0.95601,                0.54264,                 1.0573,               0.006634,               0.006634,               0.006634
                     70,                0.53593,                0.66555,                0.36235,                0.88264,                0.91781,                0.91415,                0.93982,                 0.7941,                0.91384,                0.90722,                 0.9331,                0.70627,                0.75514,                0.95262,                0.54456,                 1.0541,              0.0065845,              0.0065845,              0.0065845
                     71,                0.53193,                0.66022,                0.36294,                0.88167,                0.91804,                0.91343,                0.93812,                0.79557,                0.91338,                 0.9083,                0.93441,                0.70877,                0.75532,                0.95241,                0.54358,                 1.0541,               0.006535,               0.006535,               0.006535
                     72,                0.53418,                0.66792,                0.36053,                0.88201,                0.92016,                0.91233,                0.93833,                0.79379,                 0.9123,                 0.9058,                0.93166,                0.70907,                0.75281,                0.94778,                0.53853,                 1.0512,              0.0064855,              0.0064855,              0.0064855
                     73,                0.52698,                0.65811,                0.35633,                0.87773,                 0.9216,                0.91139,                0.93891,                0.79433,                 0.9113,                0.90698,                0.93273,                0.70952,                0.75259,                0.94713,                0.53523,                 1.0502,               0.006436,               0.006436,               0.006436
                     74,                0.52268,                0.65015,                0.35268,                0.87638,                0.92279,                0.91212,                0.93818,                0.79176,                0.91547,                0.90548,                0.93071,                0.70849,                0.75336,                0.94813,                0.53216,                 1.0515,              0.0063865,              0.0063865,              0.0063865
                     75,                0.52073,                 0.6503,                0.35193,                0.87708,                0.92376,                0.91246,                0.93669,                0.78889,                0.91652,                0.90599,                0.93133,                0.70897,                 0.7547,                0.95112,                 0.5373,                 1.0533,               0.006337,               0.006337,               0.006337
                     76,                0.51715,                0.64331,                0.34788,                0.87411,                0.92077,                0.91147,                0.93587,                0.78696,                0.91553,                0.90674,                0.93288,                0.70898,                0.75656,                0.95098,                 0.5385,                 1.0564,              0.0062875,              0.0062875,              0.0062875
                     77,                 0.5194,                0.64811,                0.34818,                0.87592,                0.92242,                0.91417,                0.93603,                0.78752,                0.91294,                0.90501,                0.92806,                0.70781,                0.75941,                0.95148,                0.54007,                 1.0588,               0.006238,               0.006238,               0.006238
                     78,                0.51351,                0.64172,                0.34468,                0.87167,                0.91937,                0.91541,                0.93695,                0.79135,                0.90901,                0.90846,                0.92723,                0.70783,                0.75885,                0.95341,                0.54009,                 1.0581,              0.0061885,              0.0061885,              0.0061885
                     79,                0.51246,                0.63881,                0.34601,                0.87314,                0.91779,                0.91874,                0.93688,                0.79002,                0.90907,                0.91076,                0.92843,                0.70652,                0.75928,                0.95859,                0.54148,                 1.0597,               0.006139,               0.006139,               0.006139
